start...
Epoch: 1 / 3000, Score: -1300,  block: 22,  Reward: -10.3 Cleared lines: 0
Epoch: 2 / 3000, Score: -1300,  block: 24,  Reward: -10.4 Cleared lines: 0
Epoch: 3 / 3000, Score: -1300,  block: 28,  Reward: -14.4 Cleared lines: 0
Epoch: 4 / 3000, Score: -1300,  block: 23,  Reward: -9.6 Cleared lines: 0
Epoch: 5 / 3000, Score: -1300,  block: 27,  Reward: -14.1 Cleared lines: 0
Epoch: 6 / 3000, Score: -1300,  block: 26,  Reward: -10.8 Cleared lines: 0
Epoch: 7 / 3000, Score: -1300,  block: 22,  Reward: -9.8 Cleared lines: 0
Epoch: 8 / 3000, Score: -1300,  block: 23,  Reward: -9.6 Cleared lines: 0
Epoch: 9 / 3000, Score: -1300,  block: 16,  Reward: -6.1 Cleared lines: 0
Epoch: 10 / 3000, Score: -1300,  block: 24,  Reward: -11.0 Cleared lines: 0
Epoch: 11 / 3000, Score: -1300,  block: 22,  Reward: -11.7 Cleared lines: 0
Epoch: 12 / 3000, Score: -1300,  block: 14,  Reward: -6.2 Cleared lines: 0
Epoch: 13 / 3000, Score: -1300,  block: 22,  Reward: -9.5 Cleared lines: 0
Epoch: 14 / 3000, Score: -1300,  block: 23,  Reward: -8.8 Cleared lines: 0
Epoch: 15 / 3000, Score: -1300,  block: 26,  Reward: -14.2 Cleared lines: 0
Epoch: 16 / 3000, Score: -1300,  block: 21,  Reward: -10.6 Cleared lines: 0
Epoch: 17 / 3000, Score: -1300,  block: 19,  Reward: -5.3 Cleared lines: 0
Epoch: 18 / 3000, Score: -1300,  block: 19,  Reward: -8.3 Cleared lines: 0
Epoch: 19 / 3000, Score: -1300,  block: 31,  Reward: -14.5 Cleared lines: 0
Epoch: 20 / 3000, Score: -1300,  block: 17,  Reward: -7.5 Cleared lines: 0
Epoch: 21 / 3000, Score: -1300,  block: 24,  Reward: -13.3 Cleared lines: 0
Epoch: 22 / 3000, Score: -1300,  block: 20,  Reward: -7.1 Cleared lines: 0
Epoch: 23 / 3000, Score: -1300,  block: 16,  Reward: -9.0 Cleared lines: 0
Epoch: 24 / 3000, Score: -1300,  block: 18,  Reward: -6.5 Cleared lines: 0
Epoch: 25 / 3000, Score: -1300,  block: 22,  Reward: -9.3 Cleared lines: 0
Epoch: 26 / 3000, Score: -1300,  block: 18,  Reward: -7.0 Cleared lines: 0
Epoch: 27 / 3000, Score: -1300,  block: 23,  Reward: -8.9 Cleared lines: 0
Epoch: 28 / 3000, Score: -1300,  block: 18,  Reward: -6.0 Cleared lines: 0
Epoch: 29 / 3000, Score: -1300,  block: 26,  Reward: -13.6 Cleared lines: 0
Epoch: 30 / 3000, Score: -1300,  block: 28,  Reward: -11.9 Cleared lines: 0
Epoch: 31 / 3000, Score: -1300,  block: 26,  Reward: -11.8 Cleared lines: 0
Epoch: 32 / 3000, Score: -1300,  block: 21,  Reward: -9.2 Cleared lines: 0
Epoch: 33 / 3000, Score: -1300,  block: 20,  Reward: -7.7 Cleared lines: 0
Epoch: 34 / 3000, Score: -1300,  block: 24,  Reward: -9.4 Cleared lines: 0
Epoch: 35 / 3000, Score: -1300,  block: 19,  Reward: -7.8 Cleared lines: 0
Epoch: 36 / 3000, Score: -1300,  block: 19,  Reward: -7.1 Cleared lines: 0
Epoch: 37 / 3000, Score: -1300,  block: 28,  Reward: -14.0 Cleared lines: 0
